"JURISDICTION","DETECTION_METHOD_CLEAN","DETECTION_METHOD_count"
"ACT","Fixed camera systems",71
"ACT","Mobile camera",67
"ACT","Police issued",59
"NSW","Fixed camera systems",24
"NSW","Mobile camera",12
"NSW","Police issued",318
"NT","Fixed camera systems",67
"NT","Mobile camera",70
"NT","Police issued",60
"QLD","Fixed camera systems",2
"QLD","Mobile camera",1
"QLD","Police issued",1
"SA","Fixed camera systems",72
"SA","Mobile camera",72
"SA","Other",72
"SA","Police issued",72
"TAS","Fixed or mobile camera",64
"TAS","Police issued",64
"VIC","Fixed camera systems",239
"VIC","Mobile camera",252
"VIC","Police issued",277
"WA","Fixed camera systems",186
"WA","Mobile camera",69
"WA","Other",55
"WA","Police issued",52
