"JURISDICTION","AGE_GROUP","FINES","DETECTION_METHOD_CLEAN","LOCATION_TYPE","PERIOD_LENGTH","Month (Name)","Month (Number)"
"ACT","0-16",1,"Fixed camera systems","Urban",30,"January",1
"ACT","0-16",2,"Police issued","Urban",30,"January",1
"ACT","17-25",559,"Fixed camera systems","Urban",30,"January",1
"ACT","17-25",143,"Mobile camera","Urban",30,"January",1
"ACT","17-25",59,"Police issued","Urban",30,"January",1
"ACT","26-39",1550,"Fixed camera systems","Urban",30,"January",1
"ACT","26-39",313,"Mobile camera","Urban",30,"January",1
"ACT","26-39",98,"Police issued","Urban",30,"January",1
"ACT","40-64",2722,"Fixed camera systems","Urban",30,"January",1
"ACT","40-64",476,"Mobile camera","Urban",30,"January",1
"ACT","40-64",47,"Police issued","Urban",30,"January",1
"ACT","65 and over",836,"Fixed camera systems","Urban",30,"January",1
"ACT","65 and over",148,"Mobile camera","Urban",30,"January",1
"ACT","65 and over",5,"Police issued","Urban",30,"January",1
"ACT","Unknown",92,"Fixed camera systems","Urban",30,"January",1
"ACT","Unknown",12,"Mobile camera","Urban",30,"January",1
"ACT","0-16",1,"Fixed camera systems","Urban",27,"February",2
"ACT","0-16",1,"Police issued","Urban",27,"February",2
"ACT","17-25",508,"Fixed camera systems","Urban",27,"February",2
"ACT","17-25",220,"Mobile camera","Urban",27,"February",2
"ACT","17-25",27,"Police issued","Urban",27,"February",2
"ACT","26-39",1149,"Fixed camera systems","Urban",27,"February",2
"ACT","26-39",463,"Mobile camera","Urban",27,"February",2
"ACT","26-39",52,"Police issued","Urban",27,"February",2
"ACT","40-64",2115,"Fixed camera systems","Urban",27,"February",2
"ACT","40-64",582,"Mobile camera","Urban",27,"February",2
"ACT","40-64",33,"Police issued","Urban",27,"February",2
"ACT","65 and over",735,"Fixed camera systems","Urban",27,"February",2
"ACT","65 and over",243,"Mobile camera","Urban",27,"February",2
"ACT","65 and over",4,"Police issued","Urban",27,"February",2
"ACT","Unknown",91,"Fixed camera systems","Urban",27,"February",2
"ACT","Unknown",13,"Mobile camera","Urban",27,"February",2
"ACT","0-16",1,"Fixed camera systems","Urban",30,"March",3
"ACT","0-16",1,"Mobile camera","Urban",30,"March",3
"ACT","0-16",7,"Police issued","Urban",30,"March",3
"ACT","17-25",538,"Fixed camera systems","Urban",30,"March",3
"ACT","17-25",222,"Mobile camera","Urban",30,"March",3
"ACT","17-25",52,"Police issued","Urban",30,"March",3
"ACT","26-39",1172,"Fixed camera systems","Urban",30,"March",3
"ACT","26-39",532,"Mobile camera","Urban",30,"March",3
"ACT","26-39",55,"Police issued","Urban",30,"March",3
"ACT","40-64",2126,"Fixed camera systems","Urban",30,"March",3
"ACT","40-64",725,"Mobile camera","Urban",30,"March",3
"ACT","40-64",46,"Police issued","Urban",30,"March",3
"ACT","65 and over",697,"Fixed camera systems","Urban",30,"March",3
"ACT","65 and over",244,"Mobile camera","Urban",30,"March",3
"ACT","Unknown",61,"Fixed camera systems","Urban",30,"March",3
"ACT","Unknown",30,"Mobile camera","Urban",30,"March",3
"ACT","0-16",1,"Fixed camera systems","Urban",29,"April",4
"ACT","0-16",1,"Mobile camera","Urban",29,"April",4
"ACT","0-16",2,"Police issued","Urban",29,"April",4
"ACT","17-25",582,"Fixed camera systems","Urban",29,"April",4
"ACT","17-25",157,"Mobile camera","Urban",29,"April",4
"ACT","17-25",99,"Police issued","Urban",29,"April",4
"ACT","26-39",1317,"Fixed camera systems","Urban",29,"April",4
"ACT","26-39",295,"Mobile camera","Urban",29,"April",4
"ACT","26-39",126,"Police issued","Urban",29,"April",4
"ACT","40-64",2313,"Fixed camera systems","Urban",29,"April",4
"ACT","40-64",468,"Mobile camera","Urban",29,"April",4
"ACT","40-64",107,"Police issued","Urban",29,"April",4
"ACT","65 and over",704,"Fixed camera systems","Urban",29,"April",4
"ACT","65 and over",155,"Mobile camera","Urban",29,"April",4
"ACT","65 and over",8,"Police issued","Urban",29,"April",4
"ACT","Unknown",64,"Fixed camera systems","Urban",29,"April",4
"ACT","Unknown",14,"Mobile camera","Urban",29,"April",4
"ACT","0-16",1,"Fixed camera systems","Urban",30,"May",5
"ACT","0-16",1,"Mobile camera","Urban",30,"May",5
"ACT","0-16",3,"Police issued","Urban",30,"May",5
"ACT","17-25",510,"Fixed camera systems","Urban",30,"May",5
"ACT","17-25",178,"Mobile camera","Urban",30,"May",5
"ACT","17-25",55,"Police issued","Urban",30,"May",5
"ACT","26-39",1196,"Fixed camera systems","Urban",30,"May",5
"ACT","26-39",352,"Mobile camera","Urban",30,"May",5
